track_id,track_name,duration_ms,artist_name,album_name,preview_url,external_urls,uri
7xTDT7gyIrv0xWpwwXExxU,Celestial,209026,Ed Sheeran,= (Tour Edition),https://p.scdn.co/mp3-preview/9bc05cc35c8389bc676803d62598607c3901a570?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/7xTDT7gyIrv0xWpwwXExxU'},spotify:track:7xTDT7gyIrv0xWpwwXExxU
44n97yHySt0Z9rqPaXgjCK,Sorry,220540,Halsey,hopeless fountain kingdom (Deluxe),,{'spotify': 'https://open.spotify.com/track/44n97yHySt0Z9rqPaXgjCK'},spotify:track:44n97yHySt0Z9rqPaXgjCK
5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,163025,Nicky Youre,Good Times Go,https://p.scdn.co/mp3-preview/605058558fd8d10c420b56c41555e567645d5b60?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA'},spotify:track:5YqEzk3C5c3UZ1D5fJUlXA
0t7fVeEJxO2Xi4H2K5Svc9,Send My Love (To Your New Lover),223078,Adele,25,https://p.scdn.co/mp3-preview/454f693eeb9b383539f5d26ecdc7cd44c6d20292?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/0t7fVeEJxO2Xi4H2K5Svc9'},spotify:track:0t7fVeEJxO2Xi4H2K5Svc9
5qaEfEh1AtSdrdrByCP7qR,Demons,177506,Imagine Dragons,Night Visions,,{'spotify': 'https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR'},spotify:track:5qaEfEh1AtSdrdrByCP7qR
3cKM7UXBZmgjEgEBTkaIlU,Strong,184373,One Direction,Midnight Memories (Deluxe),https://p.scdn.co/mp3-preview/e1fee9a7c5819d1bbc766b102953402595075575?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/3cKM7UXBZmgjEgEBTkaIlU'},spotify:track:3cKM7UXBZmgjEgEBTkaIlU
1m84zLz4WizjR4mCDoXReg,I Don't Care - Acoustic,238220,Ed Sheeran,I Don't Care (Acoustic),https://p.scdn.co/mp3-preview/a2e060d76aba86becd825544df653c4ae892b748?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/1m84zLz4WizjR4mCDoXReg'},spotify:track:1m84zLz4WizjR4mCDoXReg
33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""",280000,Céline Dion,Let's Talk About Love,https://p.scdn.co/mp3-preview/68c13229ec9b1b4a5ea580e801061fd7791857c4?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/33LC84JgLvK2KuW43MfaNq'},spotify:track:33LC84JgLvK2KuW43MfaNq
09CtPGIpYB4BrO8qb1RGsF,Sorry,200786,Justin Bieber,Purpose (Deluxe),,{'spotify': 'https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF'},spotify:track:09CtPGIpYB4BrO8qb1RGsF
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,231240,Miley Cyrus,Bangerz (Deluxe Version),https://p.scdn.co/mp3-preview/2832db9492a17af6654d86be3ae07d4baa1f55ab?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH'},spotify:track:2y4lAQpi5VTNLu2ldeTdUH
2fQxE0jVrjNMT9oJAXtSJR,Domino,231840,Jessie J,Who You Are (Platinum Edition),,{'spotify': 'https://open.spotify.com/track/2fQxE0jVrjNMT9oJAXtSJR'},spotify:track:2fQxE0jVrjNMT9oJAXtSJR
1RidHM9BC4M8DpfSQ6YLJh,Up (feat. Demi Lovato),224293,Olly Murs,Never Been Better (Expanded Edition),https://p.scdn.co/mp3-preview/076e37a52f7407ec9de9fad43280182da12b4353?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/1RidHM9BC4M8DpfSQ6YLJh'},spotify:track:1RidHM9BC4M8DpfSQ6YLJh
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,248373,James Arthur,YOU,https://p.scdn.co/mp3-preview/cfaa30729da8d2d8965fae154b6e9d0964a2ea6b?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/0otRX6Z89qKkHkQ9OqJpKt'},spotify:track:0otRX6Z89qKkHkQ9OqJpKt
6ocbgoVGwYJhOv1GgI9NsF,7 rings,178626,Ariana Grande,"thank u, next",,{'spotify': 'https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF'},spotify:track:6ocbgoVGwYJhOv1GgI9NsF
6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),280533,Ed Sheeran,÷ (Deluxe),https://p.scdn.co/mp3-preview/539bff3b1ecaa87e60c47f197749a26fe3ebab09?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN'},spotify:track:6PJ8FF6UR8FZXfEvpHkIVN
1KtVVUM6OkpyOsbVfbMybX,Don't Be so Hard on Yourself,211460,Jess Glynne,I Cry When I Laugh,https://p.scdn.co/mp3-preview/631d73351935256bf1e37fc6993a416ce0f4e2f7?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/1KtVVUM6OkpyOsbVfbMybX'},spotify:track:1KtVVUM6OkpyOsbVfbMybX
630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,217440,Zac Efron,Rewrite The Stars,https://p.scdn.co/mp3-preview/b59e1bd5efc1916ce39ce03f67dbbeb15ef62fc0?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN'},spotify:track:630sXRhIcfwr2e4RdNtjKN
01BC4Xj5tfsfV8DLDrma7q,Ciao Adios,199773,Anne-Marie,Speak Your Mind (Deluxe),https://p.scdn.co/mp3-preview/d53a301c9913bcfd210fc36e374f814ff4d63d0d?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/01BC4Xj5tfsfV8DLDrma7q'},spotify:track:01BC4Xj5tfsfV8DLDrma7q
00WvmRXTkPBZNhhRK3xfdy,As Long as You Love Me,214333,Backstreet Boys,Backstreet Boys,https://p.scdn.co/mp3-preview/f1a29f483fce4744d7283d955d5aa9f97663b380?cid=15cfb6f786d340bba6b1d3d06f34f9f2,{'spotify': 'https://open.spotify.com/track/00WvmRXTkPBZNhhRK3xfdy'},spotify:track:00WvmRXTkPBZNhhRK3xfdy
